Frecuencia,identificadorunico,examenactividad,dosis,Unidad,Nombre Unidad,duracion,Genero,Edad,dosisOriginal
3 veces a la semana,1,1,1,1,1,1,1,1,1
3 veces al día (8:00 - 15:00 - 22:00),2,2,2,2,2,2,2,2,2
5 veces al día (6:00-10:00-14:00-18:00-22:00),2,2,2,2,2,2,2,2,2
6:00 - 12:00 y 18:00,1,1,1,1,1,1,1,1,1
7:00 - 12:00 - 17:00 y 22:00,2,2,2,2,2,2,2,2,2
9:00 - 15:00 y 21:00,1,1,1,1,1,1,1,1,1
Cada 12 horas,442,442,442,442,442,442,442,442,442
Cada 24 horas,45,45,45,45,45,45,45,45,45
Cada 4 días,1,1,1,1,1,1,1,1,1
Cada 4 horas,181,181,181,181,181,181,181,181,181
Cada 48 horas,9,9,9,9,9,9,9,9,9
Cada 6 horas,4628,4628,4628,4628,4628,4628,4628,4628,4628
Cada 72 horas,2,2,2,2,2,2,2,2,2
Cada 8 horas,8421,8421,8421,8421,8421,8421,8421,8421,8421
Cada noche (21:00),4,4,4,4,4,4,4,4,4
Con cada comida (8:00 - 12:30 - 18:00),1,1,1,1,1,1,1,1,1
De rescate ,3523,3523,3523,3523,3523,3523,3523,3523,3523
Dosis única,9117,9117,9117,9117,9117,9117,9117,9117,9117
Dosis única (17:00),2,2,2,2,2,2,2,2,2
En ayunas (5:00),1,1,1,1,1,1,1,1,1
Interdiaria,1,1,1,1,1,1,1,1,1
Semanal,1,1,1,1,1,1,1,1,1
Sin Frecuencia,191,191,191,191,191,191,191,191,191
g,1,1,1,1,1,1,1,1,1
